,masked_text,original_sentence_text_before_tokenisation,prediction,score,y
0,"And in that sense , __NE_OTHER__ ' s relationship with __NE_FROM__ would be considered a third for __NE_TO__ .","And in that sense, Subaru's relationship with Toyota would be considered a third for Toyota.",reject,0.5986465812,0
1,"__NE_FROM__ and __NE_TO__ are taking to the track – and stage – again , but the real winners will be the 600,000 athletes that participate in a Rock ‘ n ' Roll Marathon Series event in 2016 .","Toyota and CGI are taking to the track – and stage – again, but the real winners will be the 600,000 athletes that participate in a Rock ‘n’ Roll Marathon Series event in 2016.",reject,0.9533797503,0
2,"Furthermore , the article from Japanese __NE_FROM__ also mentions __NE_OTHER__ and __NE_TO__ could be parting ways on its sports car partnership , though no details on that separation are provided .","Furthermore, the article from Japanese Nostalgic Car also mentions Toyota and Subaru could be parting ways on its sports car partnership, though no details on that separation are provided.",reject,0.7140716314000001,0
3,__NE_FROM__ ' s move up has been widely anticipated as __NE_TO__ ' s massive safety recalls slammed sales and,Ford's move up has been widely anticipated as Toyota's massive safety recalls slammed sales and,reject,0.46245372300000004,0
4,It debuted a little over two weeks ago at __NE_FROM__ in Detroit and it looks like __NE_TO__ is eager to show how it can amplify the sports coupe .,It debuted a little over two weeks ago at NAIAS in Detroit and it looks like Toyota Racing Development is eager to show how it can amplify the sports coupe.,reject,0.7441173196,0
5,"In July , the __NE_FROM__ outsold its rival by 4,146 vehicles and cut deeply into __NE_TO__ ' s lead .","In July, the CR-V outsold its rival by 4,146 vehicles and cut deeply into Toyota's lead.",reject,0.5287430882,0
6,"U.S. light-vehicle sales , propelled by Labor Day promotions , fatter deals throughout the month , low gasoline prices and higher light-truck demand , rose 16 percent in September on double-digit gains at the __NE_FROM__ , __NE_OTHER__ , __NE_TO__ and","U.S. light-vehicle sales, propelled by Labor Day promotions, fatter deals throughout the month, low gasoline prices and higher light-truck demand, rose 16 percent in September on double-digit gains at the Detroit 3, Toyota Motor Corp., Nissan Group and",reject,0.9877298474,0
7,"Automakers and brands that plan to adopt __NE_OTHER__ include __NE_FROM__ , __NE_OTHER__ , __NE_OTHER__ , __NE_OTHER__ , __NE_TO__ , __NE_OTHER__ , __NE_OTHER__ , __NE_OTHER__ , __NE_OTHER__ , __NE_OTHER__ , __NE_OTHER__ , __NE_OTHER__ and __NE_OTHER__ .","Automakers and brands that plan to adopt CarPlay include BMW, Ford, General Motors, Honda, Hyundai, Jaguar Land Rover, Kia, Mitsubishi, Nissan, PSA Peugeot Citroen, Subaru, Suzuki and Toyota.",reject,0.9992127419000001,0
8,"As an __NE_OTHER__ contributor , __NE_FROM__ will be a member of a government-industry team which supports __NE_TO__ initiatives to create a large-scale test environment in Southeast Michigan where various companies can test their Connected and Automated Vehicle technologies .","As an ACM contributor, Toyota will be a member of a government-industry team which supports ACM initiatives to create a large-scale test environment in Southeast Michigan where various companies can test their Connected and Automated Vehicle  technologies.",reject,0.7058191299000001,0
9,"Engine manufacturers include __NE_OTHER__ in Dagenham and Bridgend , __NE_OTHER__ in Crewe , __NE_FROM__ at Hams Hall , __NE_OTHER__ in Swindon , __NE_TO__ in Wolverhampton , __NE_OTHER__ in Sunderland , __NE_OTHER__ in Deeside and Cummins in Darlington .","Engine manufacturers include Ford in Dagenham and Bridgend, Bentley in Crewe, BMW at Hams Hall, Honda in Swindon, Jaguar Land Rover in Wolverhampton, Nissan in Sunderland, Toyota in Deeside and Cummins in Darlington.",reject,0.9893720746,0
